siteid,sitename,damname,county,twd97lon,twd97lat,twd97tm2x,twd97tm2y,sampledate,samplelayer,sampledepth,itemname,itemengabbreviation,itemvalue,itemunit
2159,仁義潭水庫一,仁義潭水庫,嘉義縣,120.5125833,23.4625556,200205.26,2595589.1,28/06/2021 09:30,表水,0.5,葉綠素a,Chl_a,12.3,μg/L
2140,霧社水庫一,霧社水庫,南投縣,121.136389,23.983076,263878.27,2653155.57,14/03/2022 10:45,表水,5.4,葉綠素a,Chl_a,1.8,μg/L
2195,西安水庫,西安水庫,澎湖縣,119.497236,23.36455,300835.34,2584739.25,15/02/2022 11:04,表水,0.5,葉綠素a,Chl_a,7,μg/L
2195,西安水庫,西安水庫,澎湖縣,119.497236,23.36455,300835.34,2584739.25,11/05/2022 12:15,表水,0.5,葉綠素a,Chl_a,5.8,μg/L
2195,西安水庫,西安水庫,澎湖縣,119.497236,23.36455,300835.34,2584739.25,10/08/2022 09:18,表水,0.5,葉綠素a,Chl_a,3.7,μg/L
2195,西安水庫,西安水庫,澎湖縣,119.497236,23.36455,300835.34,2584739.25,23/02/2023 10:59,表水,0.5,葉綠素a,Chl_a,5.4,μg/L
2195,西安水庫,西安水庫,澎湖縣,119.497236,23.36455,300835.34,2584739.25,10/05/2023 12:00,表水,0.5,葉綠素a,Chl_a,5.9,μg/L
2195,西安水庫,西安水庫,澎湖縣,119.497236,23.36455,300835.34,2584739.25,15/08/2023 08:59,表水,0.5,葉綠素a,Chl_a,8.5,μg/L
2196,小池水庫,小池水庫,澎湖縣,119.509307,23.610886,301972.8,2612023.49,23/02/2021 11:30,表水,0.5,葉綠素a,Chl_a,10.9,μg/L
2196,小池水庫,小池水庫,澎湖縣,119.509307,23.610886,301972.8,2612023.49,22/06/2021 09:30,表水,0.5,葉綠素a,Chl_a,11.4,μg/L
2196,小池水庫,小池水庫,澎湖縣,119.509307,23.610886,301972.8,2612023.49,03/08/2021 09:28,表水,0.5,葉綠素a,Chl_a,18.8,μg/L
2196,小池水庫,小池水庫,澎湖縣,119.509307,23.610886,301972.8,2612023.49,02/11/2021 10:58,表水,0.5,葉綠素a,Chl_a,15.9,μg/L
2196,小池水庫,小池水庫,澎湖縣,119.509307,23.610886,301972.8,2612023.49,14/02/2022 10:57,表水,0.5,葉綠素a,Chl_a,3.2,μg/L
2196,小池水庫,小池水庫,澎湖縣,119.509307,23.610886,301972.8,2612023.49,10/05/2022 10:41,表水,0.5,葉綠素a,Chl_a,11.9,μg/L
2196,小池水庫,小池水庫,澎湖縣,119.509307,23.610886,301972.8,2612023.49,02/08/2022 09:29,表水,0.5,葉綠素a,Chl_a,15.1,μg/L
2196,小池水庫,小池水庫,澎湖縣,119.509307,23.610886,301972.8,2612023.49,07/11/2022 13:11,表水,0.5,葉綠素a,Chl_a,13.4,μg/L
2196,小池水庫,小池水庫,澎湖縣,119.509307,23.610886,301972.8,2612023.49,21/02/2023 14:28,表水,0.5,葉綠素a,Chl_a,15.2,μg/L
2159,仁義潭水庫一,仁義潭水庫,嘉義縣,120.5125833,23.4625556,200205.26,2595589.1,15/07/2021 09:17,表水,0.5,葉綠素a,Chl_a,10.6,μg/L
2196,小池水庫,小池水庫,澎湖縣,119.509307,23.610886,301972.8,2612023.49,09/05/2023 13:25,表水,0.5,葉綠素a,Chl_a,18.3,μg/L
